runs,player,team,season,match,stadium
37,AT Rayudu,Chennai Super Kings,6,598078,Eden Gardens
1,AT Rayudu,Chennai Super Kings,7,729308,Dubai International Cricket Stadium
59,AT Rayudu,Chennai Super Kings,7,734000,Wankhede Stadium
2,AT Rayudu,Chennai Super Kings,7,734050,Brabourne Stadium
29,AT Rayudu,Chennai Super Kings,8,829734,Wankhede Stadium
34,AT Rayudu,Chennai Super Kings,8,829794,"MA Chidambaram Stadium, Chepauk"
10,AT Rayudu,Chennai Super Kings,8,829822,Wankhede Stadium
36,AT Rayudu,Chennai Super Kings,8,829828,Eden Gardens
14,AUK Pathan,Chennai Super Kings,4,501216,"MA Chidambaram Stadium, Chepauk"
18,Azhar Mahmood,Chennai Super Kings,5,548348,"MA Chidambaram Stadium, Chepauk"
9,Azhar Mahmood,Chennai Super Kings,5,548376,Himachal Pradesh Cricket Association Stadium
8,Azhar Mahmood,Chennai Super Kings,6,598012,"Punjab Cricket Association Stadium, Mohali"
2,B Akhil,Chennai Super Kings,1,336001,M Chinnaswamy Stadium
6,B Akhil,Chennai Super Kings,1,336034,"MA Chidambaram Stadium, Chepauk"
0,B Akhil,Chennai Super Kings,2,392229,Kingsmead
8,B Chipli,Chennai Super Kings,1,336001,M Chinnaswamy Stadium
17,B Chipli,Chennai Super Kings,4,501241,"MA Chidambaram Stadium, Chepauk"
10,B Chipli,Chennai Super Kings,5,548316,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium
2,B Kumar,Chennai Super Kings,5,548335,"MA Chidambaram Stadium, Chepauk"
24,B Kumar,Chennai Super Kings,6,598043,Subrata Roy Sahara Stadium
6,B Lee,Chennai Super Kings,2,392239,Kingsmead
16,B Sumanth,Chennai Super Kings,3,419168,Dr DY Patil Sports Academy
24,BB McCullum,Chennai Super Kings,1,335998,"MA Chidambaram Stadium, Chepauk"
81,BB McCullum,Chennai Super Kings,2,392236,SuperSport Park
0,BB McCullum,Chennai Super Kings,3,419158,"MA Chidambaram Stadium, Chepauk"
47,BB McCullum,Chennai Super Kings,4,501220,Nehru Stadium
33,BB McCullum,Chennai Super Kings,4,501266,"MA Chidambaram Stadium, Chepauk"
2,BB McCullum,Chennai Super Kings,5,548352,"MA Chidambaram Stadium, Chepauk"
37,BB McCullum,Chennai Super Kings,5,548373,Eden Gardens
6,BB McCullum,Chennai Super Kings,6,598039,"MA Chidambaram Stadium, Chepauk"
1,BE Hendricks,Chennai Super Kings,8,829814,"Punjab Cricket Association Stadium, Mohali"
