runs,player,team,season,match
1,RJ Quiney,Kolkata Knight Riders,2,392238
1,RP Singh,Kolkata Knight Riders,1,335991
6,RP Singh,Kolkata Knight Riders,1,336019
3,RP Singh,Kolkata Knight Riders,5,548375
4,RR Pant,Kolkata Knight Riders,9,980956
3,RR Powar,Kolkata Knight Riders,4,501224
15,RS Bopara,Kolkata Knight Riders,2,392191
0,RS Bopara,Kolkata Knight Riders,3,419132
2,RS Bopara,Kolkata Knight Riders,8,829748
10,RV Gomez,Kolkata Knight Riders,4,501224
1,RV Gomez,Kolkata Knight Riders,4,501247
37,RV Uthappa,Kolkata Knight Riders,1,336002
9,RV Uthappa,Kolkata Knight Riders,1,336026
7,RV Uthappa,Kolkata Knight Riders,2,392226
20,RV Uthappa,Kolkata Knight Riders,3,419114
50,RV Uthappa,Kolkata Knight Riders,3,419153
12,RV Uthappa,Kolkata Knight Riders,4,501267
17,RV Uthappa,Kolkata Knight Riders,5,548358
8,RV Uthappa,Kolkata Knight Riders,5,548380
31,RV Uthappa,Kolkata Knight Riders,6,598058
25,RV Uthappa,Kolkata Knight Riders,6,598066
64,S Anirudha,Kolkata Knight Riders,4,501203
3,S Anirudha,Kolkata Knight Riders,7,734042
43,S Badrinath,Kolkata Knight Riders,3,419118
54,S Badrinath,Kolkata Knight Riders,4,501250
6,S Badrinath,Kolkata Knight Riders,6,598027
7,S Chanderpaul,Kolkata Knight Riders,1,336015
7,S Dhawan,Kolkata Knight Riders,1,336022
12,S Dhawan,Kolkata Knight Riders,2,392202
23,S Dhawan,Kolkata Knight Riders,3,419127
10,S Dhawan,Kolkata Knight Riders,3,419166
7,S Dhawan,Kolkata Knight Riders,4,501208
54,S Dhawan,Kolkata Knight Riders,4,501244
50,S Dhawan,Kolkata Knight Riders,5,548340
42,S Dhawan,Kolkata Knight Riders,6,598074
19,S Dhawan,Kolkata Knight Riders,7,734020
29,S Dhawan,Kolkata Knight Riders,7,734042
54,S Dhawan,Kolkata Knight Riders,8,829748
15,S Dhawan,Kolkata Knight Riders,8,829786
6,S Dhawan,Kolkata Knight Riders,9,980920
51,S Dhawan,Kolkata Knight Riders,9,981014
10,S Dhawan,Kolkata Knight Riders,9,981020
0,S Nadeem,Kolkata Knight Riders,5,548362
4,S Nadeem,Kolkata Knight Riders,6,598003
18,S Rana,Kolkata Knight Riders,4,501267
19,S Rana,Kolkata Knight Riders,7,734032
25,S Sohal,Kolkata Knight Riders,2,392212
26,S Sohal,Kolkata Knight Riders,4,501244
1,S Sreesanth,Kolkata Knight Riders,6,598010
27,S Sriram,Kolkata Knight Riders,3,419153
1,SA Abbott,Kolkata Knight Riders,8,829718
60,SA Asnodkar,Kolkata Knight Riders,1,336005
5,SA Asnodkar,Kolkata Knight Riders,1,336032
4,SA Asnodkar,Kolkata Knight Riders,2,392238
16,Sachin Baby,Kolkata Knight Riders,9,980964
2,Sandeep Sharma,Kolkata Knight Riders,7,729312
1,Sandeep Sharma,Kolkata Knight Riders,9,980968
14,SB Bangar,Kolkata Knight Riders,1,335991
2,SB Bangar,Kolkata Knight Riders,1,336019
3,SB Joshi,Kolkata Knight Riders,1,335987
6,SB Styris,Kolkata Knight Riders,1,335991
5,SB Styris,Kolkata Knight Riders,1,336019
5,SB Styris,Kolkata Knight Riders,4,501203
11,SC Ganguly,Kolkata Knight Riders,2,392202
18,SC Ganguly,Kolkata Knight Riders,4,501267
36,SC Ganguly,Kolkata Knight Riders,5,548358
5,SC Ganguly,Kolkata Knight Riders,5,548380
40,SE Marsh,Kolkata Knight Riders,1,336008
40,SE Marsh,Kolkata Knight Riders,1,336040
5,SE Marsh,Kolkata Knight Riders,4,501239
1,SE Marsh,Kolkata Knight Riders,5,548328
33,SE Marsh,Kolkata Knight Riders,5,548333
56,SE Marsh,Kolkata Knight Riders,9,980930
52,SK Raina,Kolkata Knight Riders,2,392236
18,SK Raina,Kolkata Knight Riders,3,419118
78,SK Raina,Kolkata Knight Riders,3,419158
33,SK Raina,Kolkata Knight Riders,4,501203
4,SK Raina,Kolkata Knight Riders,4,501250
44,SK Raina,Kolkata Knight Riders,5,548352
8,SK Raina,Kolkata Knight Riders,5,548373
73,SK Raina,Kolkata Knight Riders,5,548386
7,SK Raina,Kolkata Knight Riders,6,598027
44,SK Raina,Kolkata Knight Riders,6,598039
31,SK Raina,Kolkata Knight Riders,7,733976
65,SK Raina,Kolkata Knight Riders,7,734028
8,SK Raina,Kolkata Knight Riders,8,829728
17,SK Raina,Kolkata Knight Riders,8,829770
14,SK Raina,Kolkata Knight Riders,9,980980
53,SK Raina,Kolkata Knight Riders,9,981006
4,SK Trivedi,Kolkata Knight Riders,3,419163
0,SK Trivedi,Kolkata Knight Riders,4,501219
7,SK Warne,Kolkata Knight Riders,1,336005
2,SK Warne,Kolkata Knight Riders,2,392195
18,SK Warne,Kolkata Knight Riders,2,392238
1,SK Warne,Kolkata Knight Riders,3,419123
3,SK Warne,Kolkata Knight Riders,3,419163
3,SK Warne,Kolkata Knight Riders,4,501219
8,SL Malinga,Kolkata Knight Riders,5,548375
34,SM Katich,Kolkata Knight Riders,2,392212
3,Sohail Tanvir,Kolkata Knight Riders,1,336005
13,Sohail Tanvir,Kolkata Knight Riders,1,336032
32,SP Fleming,Kolkata Knight Riders,1,336030
43,SP Goswami,Kolkata Knight Riders,2,392204
8,SP Goswami,Kolkata Knight Riders,3,419114
23,SP Goswami,Kolkata Knight Riders,5,548317
24,SP Goswami,Kolkata Knight Riders,5,548325
14,SPD Smith,Kolkata Knight Riders,5,548358
24,SPD Smith,Kolkata Knight Riders,7,729320
3,SPD Smith,Kolkata Knight Riders,7,733984
14,SPD Smith,Kolkata Knight Riders,8,829816
31,SPD Smith,Kolkata Knight Riders,9,980944
0,SR Tendulkar,Kolkata Knight Riders,1,336026
68,SR Tendulkar,Kolkata Knight Riders,2,392202
34,SR Tendulkar,Kolkata Knight Riders,2,392208
71,SR Tendulkar,Kolkata Knight Riders,3,419127
38,SR Tendulkar,Kolkata Knight Riders,4,501272
36,SR Tendulkar,Kolkata Knight Riders,4,501274
2,SR Tendulkar,Kolkata Knight Riders,5,548368
27,SR Tendulkar,Kolkata Knight Riders,5,548375
2,SR Tendulkar,Kolkata Knight Riders,6,598034
48,SR Tendulkar,Kolkata Knight Riders,6,598055
0,SR Watson,Kolkata Knight Riders,1,336005
19,SR Watson,Kolkata Knight Riders,1,336032
44,SR Watson,Kolkata Knight Riders,3,419163
22,SR Watson,Kolkata Knight Riders,4,501214
11,SR Watson,Kolkata Knight Riders,4,501219
5,SR Watson,Kolkata Knight Riders,6,598010
35,SR Watson,Kolkata Knight Riders,6,598048
39,SR Watson,Kolkata Knight Riders,7,729320
31,SR Watson,Kolkata Knight Riders,7,733984
104,SR Watson,Kolkata Knight Riders,8,829816
34,SR Watson,Kolkata Knight Riders,9,980964
31,SS Iyer,Kolkata Knight Riders,8,829744
40,SS Iyer,Kolkata Knight Riders,8,829766
0,SS Iyer,Kolkata Knight Riders,9,980908
0,SS Iyer,Kolkata Knight Riders,9,980956
4,SS Tiwary,Kolkata Knight Riders,2,392202
30,SS Tiwary,Kolkata Knight Riders,3,419127
46,SS Tiwary,Kolkata Knight Riders,3,419166
1,SS Tiwary,Kolkata Knight Riders,4,501260
18,SS Tiwary,Kolkata Knight Riders,5,548320
19,SS Tiwary,Kolkata Knight Riders,5,548349
1,SS Tiwary,Kolkata Knight Riders,6,598062
24,SS Tiwary,Kolkata Knight Riders,8,829766
13,SS Tiwary,Kolkata Knight Riders,9,980994
18,ST Jayasuriya,Kolkata Knight Riders,1,336002
48,ST Jayasuriya,Kolkata Knight Riders,1,336026
52,ST Jayasuriya,Kolkata Knight Riders,2,392202
6,ST Jayasuriya,Kolkata Knight Riders,2,392208
8,STR Binny,Kolkata Knight Riders,3,419166
14,STR Binny,Kolkata Knight Riders,6,598010
3,STR Binny,Kolkata Knight Riders,6,598048
0,STR Binny,Kolkata Knight Riders,7,729320
11,STR Binny,Kolkata Knight Riders,7,733984
16,STR Binny,Kolkata Knight Riders,9,980964
40,SV Samson,Kolkata Knight Riders,6,598048
20,SV Samson,Kolkata Knight Riders,7,729320
37,SV Samson,Kolkata Knight Riders,7,733984
8,SV Samson,Kolkata Knight Riders,8,829816
15,SV Samson,Kolkata Knight Riders,9,980908
15,SV Samson,Kolkata Knight Riders,9,980956
54,SW Billings,Kolkata Knight Riders,9,980956
0,SW Tait,Kolkata Knight Riders,4,501219
0,Swapnil Singh,Kolkata Knight Riders,9,980968
0,T Henderson,Kolkata Knight Riders,2,392238
1,T Kohli,Kolkata Knight Riders,2,392191
31,TL Suman,Kolkata Knight Riders,2,392233
7,TL Suman,Kolkata Knight Riders,3,419111
15,TL Suman,Kolkata Knight Riders,3,419140
4,TL Suman,Kolkata Knight Riders,4,501272
2,TL Suman,Kolkata Knight Riders,4,501274
25,TM Dilshan,Kolkata Knight Riders,1,336022
42,TM Dilshan,Kolkata Knight Riders,2,392216
1,TM Dilshan,Kolkata Knight Riders,2,392224
38,TM Dilshan,Kolkata Knight Riders,4,501227
1,TM Dilshan,Kolkata Knight Riders,5,548349
1,TM Srivastava,Kolkata Knight Riders,1,336040
8,TR Birt,Kolkata Knight Riders,4,501235
7,UA Birla,Kolkata Knight Riders,6,598058
0,UBT Chand,Kolkata Knight Riders,6,598003
37,UBT Chand,Kolkata Knight Riders,6,598045
21,UT Khawaja,Kolkata Knight Riders,9,980994
10,UT Yadav,Kolkata Knight Riders,1,335991
1,UT Yadav,Kolkata Knight Riders,4,501235
1,UT Yadav,Kolkata Knight Riders,5,548383
1,V Kohli,Kolkata Knight Riders,1,335987
19,V Kohli,Kolkata Knight Riders,2,392204
2,V Kohli,Kolkata Knight Riders,3,419114
30,V Kohli,Kolkata Knight Riders,4,501227
15,V Kohli,Kolkata Knight Riders,4,501260
6,V Kohli,Kolkata Knight Riders,5,548320
18,V Kohli,Kolkata Knight Riders,5,548349
35,V Kohli,Kolkata Knight Riders,6,598013
17,V Kohli,Kolkata Knight Riders,6,598062
31,V Kohli,Kolkata Knight Riders,7,729304
38,V Kohli,Kolkata Knight Riders,7,734032
13,V Kohli,Kolkata Knight Riders,8,829718
34,V Kohli,Kolkata Knight Riders,8,829776
52,V Kohli,Kolkata Knight Riders,9,980964
75,V Kohli,Kolkata Knight Riders,9,981000
0,V Sehwag,Kolkata Knight Riders,1,336022
8,V Sehwag,Kolkata Knight Riders,3,419136
64,V Sehwag,Kolkata Knight Riders,3,419149
34,V Sehwag,Kolkata Knight Riders,4,501235
20,V Sehwag,Kolkata Knight Riders,5,548312
23,V Sehwag,Kolkata Knight Riders,5,548362
10,V Sehwag,Kolkata Knight Riders,5,548383
17,V Sehwag,Kolkata Knight Riders,6,598045
37,V Sehwag,Kolkata Knight Riders,7,729312
72,V Sehwag,Kolkata Knight Riders,7,734002
2,V Sehwag,Kolkata Knight Riders,7,734048
7,V Sehwag,Kolkata Knight Riders,7,734054
11,V Sehwag,Kolkata Knight Riders,8,829738
1,VR Aaron,Kolkata Knight Riders,5,548362
0,VVS Laxman,Kolkata Knight Riders,1,335991
10,VVS Laxman,Kolkata Knight Riders,2,392189
22,VVS Laxman,Kolkata Knight Riders,3,419111
3,VY Mahesh,Kolkata Knight Riders,1,336022
6,W Jaffer,Kolkata Knight Riders,1,335987
1,WD Parnell,Kolkata Knight Riders,4,501267
1,WD Parnell,Kolkata Knight Riders,5,548358
3,WD Parnell,Kolkata Knight Riders,5,548380
5,WD Parnell,Kolkata Knight Riders,6,598058
39,WP Saha,Kolkata Knight Riders,6,598039
14,WP Saha,Kolkata Knight Riders,7,729312
15,WP Saha,Kolkata Knight Riders,7,734002
35,WP Saha,Kolkata Knight Riders,7,734048
115,WP Saha,Kolkata Knight Riders,7,734054
15,WP Saha,Kolkata Knight Riders,8,829738
33,WP Saha,Kolkata Knight Riders,8,829796
8,WP Saha,Kolkata Knight Riders,9,980930
24,WP Saha,Kolkata Knight Riders,9,980968
0,WPUJC Vaas,Kolkata Knight Riders,1,335991
9,WPUJC Vaas,Kolkata Knight Riders,1,336019
0,WPUJC Vaas,Kolkata Knight Riders,3,419111
19,Y Nagar,Kolkata Knight Riders,4,501235
10,Y Nagar,Kolkata Knight Riders,5,548362
14,Y Venugopal Rao,Kolkata Knight Riders,1,335991
71,Y Venugopal Rao,Kolkata Knight Riders,1,336019
7,Y Venugopal Rao,Kolkata Knight Riders,2,392233
19,Y Venugopal Rao,Kolkata Knight Riders,4,501235
13,Y Venugopal Rao,Kolkata Knight Riders,5,548383
27,Y Venugopal Rao,Kolkata Knight Riders,7,734042
2,Yashpal Singh,Kolkata Knight Riders,2,392202
55,YK Pathan,Kolkata Knight Riders,1,336005
48,YK Pathan,Kolkata Knight Riders,1,336032
60,YK Pathan,Kolkata Knight Riders,2,392195
9,YK Pathan,Kolkata Knight Riders,2,392238
15,YK Pathan,Kolkata Knight Riders,3,419123
8,YK Pathan,Kolkata Knight Riders,3,419163
17,Yuvraj Singh,Kolkata Knight Riders,1,336008
27,Yuvraj Singh,Kolkata Knight Riders,1,336040
38,Yuvraj Singh,Kolkata Knight Riders,2,392191
14,Yuvraj Singh,Kolkata Knight Riders,2,392212
24,Yuvraj Singh,Kolkata Knight Riders,3,419132
33,Yuvraj Singh,Kolkata Knight Riders,3,419144
24,Yuvraj Singh,Kolkata Knight Riders,4,501267
1,Yuvraj Singh,Kolkata Knight Riders,6,598058
30,Yuvraj Singh,Kolkata Knight Riders,6,598066
31,Yuvraj Singh,Kolkata Knight Riders,7,729304
22,Yuvraj Singh,Kolkata Knight Riders,7,734032
21,Yuvraj Singh,Kolkata Knight Riders,8,829744
0,Yuvraj Singh,Kolkata Knight Riders,8,829766
19,Yuvraj Singh,Kolkata Knight Riders,9,981014
44,Yuvraj Singh,Kolkata Knight Riders,9,981020
40,YV Takawale,Kolkata Knight Riders,7,729304
45,YV Takawale,Kolkata Knight Riders,7,734032
3,Z Khan,Kolkata Knight Riders,1,335987
2,Z Khan,Kolkata Knight Riders,2,392208
11,Z Khan,Kolkata Knight Riders,5,548320
4,Z Khan,Kolkata Knight Riders,9,980908
10,A Ashish Reddy,Mumbai Indians,5,548351
17,A Ashish Reddy,Mumbai Indians,8,829820
1,A Chopra,Mumbai Indians,1,336026
24,A Flintoff,Mumbai Indians,2,392186
7,A Kumble,Mumbai Indians,2,392223
1,A Kumble,Mumbai Indians,3,419162
1,A Kumble,Mumbai Indians,3,419167
13,A Mishra,Mumbai Indians,2,392240
2,A Mishra,Mumbai Indians,3,419119
12,A Mishra,Mumbai Indians,3,419157
25,A Mishra,Mumbai Indians,4,501229
18,A Mishra,Mumbai Indians,4,501261
0,A Mishra,Mumbai Indians,5,548319
1,A Mishra,Mumbai Indians,5,548351
1,A Mishra,Mumbai Indians,9,980998
1,A Nehra,Mumbai Indians,6,598011
0,A Nehra,Mumbai Indians,8,829822
0,A Singh,Mumbai Indians,5,548322
1,A Symonds,Mumbai Indians,3,419135
21,A Symonds,Mumbai Indians,3,419143
0,A Uniyal,Mumbai Indians,3,419112
4,AA Chavan,Mumbai Indians,5,548322
14,AA Jhunjhunwala,Mumbai Indians,3,419112
22,AA Jhunjhunwala,Mumbai Indians,3,419155
10,AA Jhunjhunwala,Mumbai Indians,4,501246
2,AB Agarkar,Mumbai Indians,1,336002
15,AB Agarkar,Mumbai Indians,1,336026
7,AB Agarkar,Mumbai Indians,4,501251
33,AB Barath,Mumbai Indians,3,419151
21,AB de Villiers,Mumbai Indians,1,336009
50,AB de Villiers,Mumbai Indians,2,392220
6,AB de Villiers,Mumbai Indians,2,392240
6,AB de Villiers,Mumbai Indians,3,419119
4,AB de Villiers,Mumbai Indians,3,419157
38,AB de Villiers,Mumbai Indians,4,501210
21,AB de Villiers,Mumbai Indians,4,501275
14,AB de Villiers,Mumbai Indians,5,548372
2,AB de Villiers,Mumbai Indians,6,598038
45,AB de Villiers,Mumbai Indians,7,729292
9,AB de Villiers,Mumbai Indians,7,733988
41,AB de Villiers,Mumbai Indians,8,829742
133,AB de Villiers,Mumbai Indians,8,829800
29,AB de Villiers,Mumbai Indians,9,980932
24,AB de Villiers,Mumbai Indians,9,980986
1,AB Dinda,Mumbai Indians,1,336026
0,AB Dinda,Mumbai Indians,4,501206
2,AB Dinda,Mumbai Indians,7,733988
33,AB McDonald,Mumbai Indians,3,419157
109,AC Gilchrist,Mumbai Indians,1,335999
13,AC Gilchrist,Mumbai Indians,1,336029
35,AC Gilchrist,Mumbai Indians,2,392197
25,AC Gilchrist,Mumbai Indians,2,392217
0,AC Gilchrist,Mumbai Indians,3,419135
19,AC Gilchrist,Mumbai Indians,3,419143
0,AC Gilchrist,Mumbai Indians,4,501242
28,AC Gilchrist,Mumbai Indians,4,501256
5,AC Gilchrist,Mumbai Indians,6,598071
0,AC Thomas,Mumbai Indians,4,501223
28,AC Voges,Mumbai Indians,3,419155
9,AD Mascarenhas,Mumbai Indians,3,419112
3,AD Mathews,Mumbai Indians,3,419127
19,AD Mathews,Mumbai Indians,6,598016
0,AD Mathews,Mumbai Indians,6,598060
17,AD Mathews,Mumbai Indians,8,829752
12,AD Mathews,Mumbai Indians,8,829788
12,AD Nath,Mumbai Indians,9,980922
2,AD Russell,Mumbai Indians,8,829810
36,AD Russell,Mumbai Indians,9,980914
22,AD Russell,Mumbai Indians,9,980952
8,AJ Finch,Mumbai Indians,4,501206
0,AJ Finch,Mumbai Indians,6,598016
10,AJ Finch,Mumbai Indians,6,598060
16,AJ Finch,Mumbai Indians,7,729322
68,AJ Finch,Mumbai Indians,7,734006
67,AJ Finch,Mumbai Indians,9,980922
0,AJ Finch,Mumbai Indians,9,981012
4,AL Menaria,Mumbai Indians,4,501236
20,AL Menaria,Mumbai Indians,5,548322
21,AL Menaria,Mumbai Indians,5,548382
14,AM Nayar,Mumbai Indians,4,501242
6,AM Nayar,Mumbai Indians,6,598016
11,AM Nayar,Mumbai Indians,6,598060
40,AM Rahane,Mumbai Indians,5,548322
13,AM Rahane,Mumbai Indians,5,548382
68,AM Rahane,Mumbai Indians,6,598024
4,AM Rahane,Mumbai Indians,6,598068
21,AM Rahane,Mumbai Indians,6,598077
46,AM Rahane,Mumbai Indians,8,829726
16,AM Rahane,Mumbai Indians,8,829774
66,AM Rahane,Mumbai Indians,9,980906
4,AM Rahane,Mumbai Indians,9,980962
1,AN Ahmed,Mumbai Indians,8,829742
0,AN Ghosh,Mumbai Indians,2,392202
1,Ankit Sharma,Mumbai Indians,5,548319
4,Ankit Sharma,Mumbai Indians,7,734022
30,AP Dole,Mumbai Indians,3,419155
6,AR Patel,Mumbai Indians,7,734030
0,AR Patel,Mumbai Indians,8,829780
0,AR Patel,Mumbai Indians,9,980946
2,AS Rajpoot,Mumbai Indians,6,598007
20,AS Raut,Mumbai Indians,3,419155
0,AUK Pathan,Mumbai Indians,4,501210
10,Azhar Mahmood,Mumbai Indians,5,548339
9,Azhar Mahmood,Mumbai Indians,6,598042
80,Azhar Mahmood,Mumbai Indians,6,598071
3,B Akhil,Mumbai Indians,1,335990
5,B Akhil,Mumbai Indians,1,336017
6,B Chipli,Mumbai Indians,4,501229
10,B Chipli,Mumbai Indians,4,501261
1,B Chipli,Mumbai Indians,5,548319
1,B Chipli,Mumbai Indians,5,548351
2,B Kumar,Mumbai Indians,5,548313
10,B Kumar,Mumbai Indians,5,548356
6,B Kumar,Mumbai Indians,6,598016
2,B Kumar,Mumbai Indians,6,598060
6,B Kumar,Mumbai Indians,8,829756
0,B Kumar,Mumbai Indians,8,829820
0,B Laughlin,Mumbai Indians,6,598007
4,B Laughlin,Mumbai Indians,6,598051
16,B Lee,Mumbai Indians,1,335996
8,B Lee,Mumbai Indians,2,392227
3,B Lee,Mumbai Indians,3,419137
2,B Lee,Mumbai Indians,4,501274
1,BB McCullum,Mumbai Indians,1,336002
0,BB McCullum,Mumbai Indians,2,392202
5,BB McCullum,Mumbai Indians,2,392208
57,BB McCullum,Mumbai Indians,3,419166
81,BB McCullum,Mumbai Indians,4,501215
1,BB McCullum,Mumbai Indians,5,548375
71,BB McCullum,Mumbai Indians,7,729308
13,BB McCullum,Mumbai Indians,7,734000
14,BB McCullum,Mumbai Indians,7,734050
46,BB McCullum,Mumbai Indians,8,829734
23,BB McCullum,Mumbai Indians,8,829794
6,BB McCullum,Mumbai Indians,9,980922
48,BB McCullum,Mumbai Indians,9,981012
0,BE Hendricks,Mumbai Indians,7,734030
1,Bipul Sharma,Mumbai Indians,4,501242
6,Bipul Sharma,Mumbai Indians,4,501256
12,BJ Hodge,Mumbai Indians,2,392202
73,BJ Hodge,Mumbai Indians,2,392208
11,BJ Hodge,Mumbai Indians,4,501215
27,BJ Hodge,Mumbai Indians,6,598024
39,BJ Hodge,Mumbai Indians,6,598068
19,BJ Hodge,Mumbai Indians,6,598077
40,BJ Hodge,Mumbai Indians,7,734022
29,BJ Hodge,Mumbai Indians,7,734046
0,BMAJ Mendis,Mumbai Indians,6,598011
4,C Munro,Mumbai Indians,9,980914
1,CA Ingram,Mumbai Indians,4,501251
10,CA Lynn,Mumbai Indians,9,980952
19,CA Pujara,Mumbai Indians,7,733978
10,CH Gayle,Mumbai Indians,2,392202
7,CH Gayle,Mumbai Indians,2,392208
75,CH Gayle,Mumbai Indians,3,419127
89,CH Gayle,Mumbai Indians,4,501275
82,CH Gayle,Mumbai Indians,5,548365
6,CH Gayle,Mumbai Indians,5,548372
92,CH Gayle,Mumbai Indians,6,598004
18,CH Gayle,Mumbai Indians,6,598038
38,CH Gayle,Mumbai Indians,7,733988
10,CH Gayle,Mumbai Indians,8,829742
13,CH Gayle,Mumbai Indians,8,829800
5,CH Gayle,Mumbai Indians,9,980986
1,CH Morris,Mumbai Indians,6,598051
0,CH Morris,Mumbai Indians,6,598078
20,CH Morris,Mumbai Indians,9,980998
12,CJ Ferguson,Mumbai Indians,5,548313
0,CK Kapugedera,Mumbai Indians,1,336023
26,CL White,Mumbai Indians,1,336017
1,CL White,Mumbai Indians,4,501229
30,CL White,Mumbai Indians,5,548319
0,CL White,Mumbai Indians,5,548351
43,CL White,Mumbai Indians,6,598065
47,D Wiese,Mumbai Indians,8,829742
5,DA Miller,Mumbai Indians,5,548339
34,DA Miller,Mumbai Indians,5,548344
56,DA Miller,Mumbai Indians,6,598042
6,DA Miller,Mumbai Indians,6,598071
16,DA Miller,Mumbai Indians,7,733978
24,DA Miller,Mumbai Indians,8,829722
43,DA Miller,Mumbai Indians,8,829780
30,DA Miller,Mumbai Indians,9,980946
21,DA Warner,Mumbai Indians,2,392220
15,DA Warner,Mumbai Indians,2,392240
31,DA Warner,Mumbai Indians,3,419157
1,DA Warner,Mumbai Indians,4,501206
1,DA Warner,Mumbai Indians,4,501251
61,DA Warner,Mumbai Indians,6,598011
7,DA Warner,Mumbai Indians,6,598029
65,DA Warner,Mumbai Indians,7,729322
55,DA Warner,Mumbai Indians,7,734006
9,DA Warner,Mumbai Indians,8,829756
6,DA Warner,Mumbai Indians,8,829820
90,DA Warner,Mumbai Indians,9,980928
48,DA Warner,Mumbai Indians,9,980978
29,DB Das,Mumbai Indians,1,336002
4,DB Das,Mumbai Indians,5,548368
2,DB Das,Mumbai Indians,5,548375
6,DB Das,Mumbai Indians,6,598034
23,DB Das,Mumbai Indians,6,598055
37,DB Ravi Teja,Mumbai Indians,1,336029
9,DB Ravi Teja,Mumbai Indians,2,392197
4,DB Ravi Teja,Mumbai Indians,2,392217
1,DB Ravi Teja,Mumbai Indians,4,501229
4,DB Ravi Teja,Mumbai Indians,5,548319
0,DE Bollinger,Mumbai Indians,4,501226
3,DE Bollinger,Mumbai Indians,5,548311
6,DH Yagnik,Mumbai Indians,5,548382
34,DH Yagnik,Mumbai Indians,6,598024
10,DH Yagnik,Mumbai Indians,6,598068
31,DH Yagnik,Mumbai Indians,6,598077
19,DJ Bravo,Mumbai Indians,5,548311
40,DJ Bravo,Mumbai Indians,5,548360
33,DJ Bravo,Mumbai Indians,5,548384
10,DJ Bravo,Mumbai Indians,6,598007
9,DJ Bravo,Mumbai Indians,6,598051
15,DJ Bravo,Mumbai Indians,6,598078
13,DJ Bravo,Mumbai Indians,8,829734
20,DJ Bravo,Mumbai Indians,8,829822
9,DJ Bravo,Mumbai Indians,8,829828
2,DJ Bravo,Mumbai Indians,9,980922
13,DJ Hooda,Mumbai Indians,8,829726
1,DJ Hooda,Mumbai Indians,8,829774
17,DJ Hooda,Mumbai Indians,9,980928
17,DJ Hussey,Mumbai Indians,1,336002
2,DJ Hussey,Mumbai Indians,1,336026
20,DJ Hussey,Mumbai Indians,3,419166
1,DJ Hussey,Mumbai Indians,4,501242
0,DJ Hussey,Mumbai Indians,4,501256
21,DJ Hussey,Mumbai Indians,5,548339
68,DJ Hussey,Mumbai Indians,5,548344
34,DJ Hussey,Mumbai Indians,6,598042
40,DJ Hussey,Mumbai Indians,7,734050
1,DJG Sammy,Mumbai Indians,6,598044
10,DJG Sammy,Mumbai Indians,7,729322
10,DNT Zoysa,Mumbai Indians,1,336029
2,DP Nannes,Mumbai Indians,3,419119
12,DPMD Jayawardene,Mumbai Indians,1,335996
1,DPMD Jayawardene,Mumbai Indians,1,336033
7,DPMD Jayawardene,Mumbai Indians,2,392205
20,DPMD Jayawardene,Mumbai Indians,3,419137
31,DPMD Jayawardene,Mumbai Indians,3,419151
56,DPMD Jayawardene,Mumbai Indians,4,501215
17,DPMD Jayawardene,Mumbai Indians,5,548330
55,DPMD Jayawardene,Mumbai Indians,5,548347
3,DPMD Jayawardene,Mumbai Indians,6,598011
59,DPMD Jayawardene,Mumbai Indians,6,598029
35,DR Smith,Mumbai Indians,2,392197
16,DR Smith,Mumbai Indians,2,392217
29,DR Smith,Mumbai Indians,7,729308
57,DR Smith,Mumbai Indians,7,734000
24,DR Smith,Mumbai Indians,7,734050
62,DR Smith,Mumbai Indians,8,829734
27,DR Smith,Mumbai Indians,8,829794
0,DR Smith,Mumbai Indians,8,829822
57,DR Smith,Mumbai Indians,8,829828
37,DR Smith,Mumbai Indians,9,981012
6,DS Kulkarni,Mumbai Indians,9,980922
21,DT Christian,Mumbai Indians,4,501229
18,DT Christian,Mumbai Indians,4,501261
39,DT Christian,Mumbai Indians,5,548319
5,DT Christian,Mumbai Indians,5,548351
4,DT Christian,Mumbai Indians,6,598004
0,DW Steyn,Mumbai Indians,3,419162
5,DW Steyn,Mumbai Indians,3,419167
4,DW Steyn,Mumbai Indians,4,501229
2,DW Steyn,Mumbai Indians,5,548319
3,DW Steyn,Mumbai Indians,5,548351
0,DW Steyn,Mumbai Indians,8,829756
19,DW Steyn,Mumbai Indians,8,829820
7,EJG Morgan,Mumbai Indians,3,419124
31,EJG Morgan,Mumbai Indians,6,598034
5,EJG Morgan,Mumbai Indians,6,598055
9,EJG Morgan,Mumbai Indians,8,829820
11,EJG Morgan,Mumbai Indians,9,980928
3,F du Plessis,Mumbai Indians,5,548311
9,F du Plessis,Mumbai Indians,5,548360
20,F du Plessis,Mumbai Indians,7,729308
31,F du Plessis,Mumbai Indians,7,734000
35,F du Plessis,Mumbai Indians,7,734050
11,F du Plessis,Mumbai Indians,8,829734
17,F du Plessis,Mumbai Indians,8,829794
45,F du Plessis,Mumbai Indians,8,829822
1,F du Plessis,Mumbai Indians,8,829828
34,F du Plessis,Mumbai Indians,9,980906
1,FH Edwards,Mumbai Indians,2,392197
10,FY Fazal,Mumbai Indians,3,419155
1,G Gambhir,Mumbai Indians,1,336009
19,G Gambhir,Mumbai Indians,1,336037
19,G Gambhir,Mumbai Indians,2,392220
47,G Gambhir,Mumbai Indians,2,392240
17,G Gambhir,Mumbai Indians,3,419157
8,G Gambhir,Mumbai Indians,4,501272
4,G Gambhir,Mumbai Indians,4,501274
