runs,player,team,season,match
5,DJ Bravo,Chennai Super Kings,2,392232
11,DJ Bravo,Chennai Super Kings,3,419130
2,DJ Bravo,Chennai Super Kings,3,419147
15,DJ Harris,Chennai Super Kings,5,548316
15,DJ Hooda,Chennai Super Kings,8,829802
0,DJ Hussey,Chennai Super Kings,1,335998
0,DJ Hussey,Chennai Super Kings,1,336030
3,DJ Hussey,Chennai Super Kings,2,392236
0,DJ Hussey,Chennai Super Kings,3,419158
7,DJ Hussey,Chennai Super Kings,5,548348
9,DJ Hussey,Chennai Super Kings,5,548376
41,DJ Hussey,Chennai Super Kings,6,598012
22,DJ Hussey,Chennai Super Kings,6,598046
19,DJG Sammy,Chennai Super Kings,6,598035
7,DJG Sammy,Chennai Super Kings,6,598056
23,DJG Sammy,Chennai Super Kings,7,729316
0,DJG Sammy,Chennai Super Kings,7,734034
2,DL Vettori,Chennai Super Kings,4,501216
0,DL Vettori,Chennai Super Kings,4,501276
1,DL Vettori,Chennai Super Kings,5,548323
8,DPMD Jayawardene,Chennai Super Kings,1,336018
8,DPMD Jayawardene,Chennai Super Kings,1,336044
44,DPMD Jayawardene,Chennai Super Kings,2,392219
9,DPMD Jayawardene,Chennai Super Kings,3,419126
21,DPMD Jayawardene,Chennai Super Kings,3,419164
16,DPMD Jayawardene,Chennai Super Kings,4,501220
20,DPMD Jayawardene,Chennai Super Kings,5,548321
8,DPMD Jayawardene,Chennai Super Kings,5,548369
55,DPMD Jayawardene,Chennai Super Kings,5,548385
6,DPMD Jayawardene,Chennai Super Kings,6,598025
12,DR Smith,Chennai Super Kings,2,392201
49,DR Smith,Chennai Super Kings,2,392214
13,DR Smith,Chennai Super Kings,3,419152
24,DR Smith,Chennai Super Kings,5,548360
38,DR Smith,Chennai Super Kings,5,548384
3,DR Smith,Chennai Super Kings,6,598007
22,DR Smith,Chennai Super Kings,6,598051
68,DR Smith,Chennai Super Kings,6,598075
4,DR Smith,Chennai Super Kings,6,598078
10,DS Kulkarni,Chennai Super Kings,5,548384
28,DS Kulkarni,Chennai Super Kings,7,729302
1,DT Christian,Chennai Super Kings,4,501241
2,DT Christian,Chennai Super Kings,5,548316
27,DT Christian,Chennai Super Kings,5,548357
2,DT Christian,Chennai Super Kings,6,598017
1,DW Steyn,Chennai Super Kings,1,336001
0,DW Steyn,Chennai Super Kings,2,392190
5,DW Steyn,Chennai Super Kings,5,548316
14,DW Steyn,Chennai Super Kings,6,598056
1,EJG Morgan,Chennai Super Kings,3,419128
6,EJG Morgan,Chennai Super Kings,4,501203
5,EJG Morgan,Chennai Super Kings,4,501250
2,EJG Morgan,Chennai Super Kings,6,598027
32,EJG Morgan,Chennai Super Kings,6,598039
32,EJG Morgan,Chennai Super Kings,8,829778
17,FY Fazal,Chennai Super Kings,3,419134
4,FY Fazal,Chennai Super Kings,3,419142
50,G Gambhir,Chennai Super Kings,1,336006
80,G Gambhir,Chennai Super Kings,1,336014
0,G Gambhir,Chennai Super Kings,2,392194
13,G Gambhir,Chennai Super Kings,2,392211
57,G Gambhir,Chennai Super Kings,3,419160
1,G Gambhir,Chennai Super Kings,4,501203
16,G Gambhir,Chennai Super Kings,4,501250
63,G Gambhir,Chennai Super Kings,5,548352
62,G Gambhir,Chennai Super Kings,5,548373
2,G Gambhir,Chennai Super Kings,5,548386
25,G Gambhir,Chennai Super Kings,6,598027
14,G Gambhir,Chennai Super Kings,6,598039
6,G Gambhir,Chennai Super Kings,7,733976
21,G Gambhir,Chennai Super Kings,7,734028
19,G Gambhir,Chennai Super Kings,8,829728
0,G Gambhir,Chennai Super Kings,8,829770
2,GB Hogg,Chennai Super Kings,8,829770
35,GC Smith,Chennai Super Kings,1,336010
91,GC Smith,Chennai Super Kings,1,336038
2,GC Smith,Chennai Super Kings,2,392207
30,GC Smith,Chennai Super Kings,2,392222
2,GH Vihari,Chennai Super Kings,6,598035
3,GH Vihari,Chennai Super Kings,6,598056
8,GH Vihari,Chennai Super Kings,8,829778
17,GJ Bailey,Chennai Super Kings,7,729288
40,GJ Bailey,Chennai Super Kings,7,733992
1,GJ Bailey,Chennai Super Kings,7,734052
1,GJ Bailey,Chennai Super Kings,8,829758
12,GJ Bailey,Chennai Super Kings,8,829814
95,GJ Maxwell,Chennai Super Kings,7,729288
90,GJ Maxwell,Chennai Super Kings,7,733992
13,GJ Maxwell,Chennai Super Kings,7,734052
6,GJ Maxwell,Chennai Super Kings,8,829814
31,Gurkeerat Singh,Chennai Super Kings,6,598012
0,Gurkeerat Singh,Chennai Super Kings,6,598046
15,Gurkeerat Singh,Chennai Super Kings,8,829814
28,Harbhajan Singh,Chennai Super Kings,1,335994
4,Harbhajan Singh,Chennai Super Kings,2,392186
1,Harbhajan Singh,Chennai Super Kings,2,392232
33,Harbhajan Singh,Chennai Super Kings,3,419147
