wickets,stadium,bowling_style
86,"MA Chidambaram Stadium, Chepauk",Left-arm fast-medium
3,"MA Chidambaram Stadium, Chepauk",Left-arm medium
61,"MA Chidambaram Stadium, Chepauk",Left-arm medium-fast
22,"MA Chidambaram Stadium, Chepauk",Legbreak
20,"MA Chidambaram Stadium, Chepauk",Legbreak googly
60,"MA Chidambaram Stadium, Chepauk",Right-arm fast
113,"MA Chidambaram Stadium, Chepauk",Right-arm fast-medium
159,"MA Chidambaram Stadium, Chepauk",Right-arm medium
237,"MA Chidambaram Stadium, Chepauk",Right-arm medium-fast
192,"MA Chidambaram Stadium, Chepauk",Right-arm offbreak
6,"MA Chidambaram Stadium, Chepauk",Slow left-arm chinaman
126,"MA Chidambaram Stadium, Chepauk",Slow left-arm orthodox
11,Maharashtra Cricket Association Stadium,Left-arm fast
9,Maharashtra Cricket Association Stadium,Left-arm fast-medium
3,Maharashtra Cricket Association Stadium,Left-arm medium-fast
5,Maharashtra Cricket Association Stadium,Legbreak
11,Maharashtra Cricket Association Stadium,Legbreak googly
13,Maharashtra Cricket Association Stadium,Right-arm fast
27,Maharashtra Cricket Association Stadium,Right-arm fast-medium
40,Maharashtra Cricket Association Stadium,Right-arm medium
43,Maharashtra Cricket Association Stadium,Right-arm medium-fast
12,Maharashtra Cricket Association Stadium,Right-arm offbreak
1,Maharashtra Cricket Association Stadium,Slow left-arm chinaman
14,Maharashtra Cricket Association Stadium,Slow left-arm orthodox
2,Nehru Stadium,Left-arm fast
14,Nehru Stadium,Left-arm fast-medium
3,Nehru Stadium,Left-arm medium
2,Nehru Stadium,Left-arm medium-fast
1,Nehru Stadium,Legbreak
15,Nehru Stadium,Right-arm fast
22,Nehru Stadium,Right-arm fast-medium
24,Nehru Stadium,Right-arm medium
13,Nehru Stadium,Right-arm medium-fast
9,Nehru Stadium,Right-arm offbreak
11,Nehru Stadium,Slow left-arm orthodox
8,New Wanderers Stadium,Left-arm fast
10,New Wanderers Stadium,Left-arm fast-medium
4,New Wanderers Stadium,Left-arm medium
14,New Wanderers Stadium,Left-arm medium-fast
4,New Wanderers Stadium,Legbreak
8,New Wanderers Stadium,Legbreak googly
12,New Wanderers Stadium,Right-arm fast
21,New Wanderers Stadium,Right-arm fast-medium
23,New Wanderers Stadium,Right-arm medium
12,New Wanderers Stadium,Right-arm medium-fast
24,New Wanderers Stadium,Right-arm offbreak
38,New Wanderers Stadium,Slow left-arm orthodox
17,Newlands,Left-arm fast-medium
14,Newlands,Left-arm medium-fast
4,Newlands,Legbreak
19,Newlands,Legbreak googly
12,Newlands,Right-arm fast
25,Newlands,Right-arm fast-medium
33,Newlands,Right-arm medium
12,Newlands,Right-arm medium-fast
14,Newlands,Right-arm offbreak
16,Newlands,Slow left-arm orthodox
1,OUTsurance Oval,Left-arm fast
3,OUTsurance Oval,Left-arm medium
9,OUTsurance Oval,Left-arm medium-fast
5,OUTsurance Oval,Legbreak
1,OUTsurance Oval,Legbreak googly
3,OUTsurance Oval,Right-arm fast
10,OUTsurance Oval,Right-arm fast-medium
4,OUTsurance Oval,Right-arm medium
5,OUTsurance Oval,Right-arm medium-fast
5,OUTsurance Oval,Right-arm offbreak
2,OUTsurance Oval,Slow left-arm orthodox
4,"Punjab Cricket Association IS Bindra Stadium, Mohali",Left-arm fast
9,"Punjab Cricket Association IS Bindra Stadium, Mohali",Left-arm fast-medium
7,"Punjab Cricket Association IS Bindra Stadium, Mohali",Legbreak
12,"Punjab Cricket Association IS Bindra Stadium, Mohali",Legbreak googly
3,"Punjab Cricket Association IS Bindra Stadium, Mohali",Right-arm fast
18,"Punjab Cricket Association IS Bindra Stadium, Mohali",Right-arm fast-medium
44,"Punjab Cricket Association IS Bindra Stadium, Mohali",Right-arm medium
10,"Punjab Cricket Association IS Bindra Stadium, Mohali",Right-arm medium-fast
7,"Punjab Cricket Association IS Bindra Stadium, Mohali",Right-arm offbreak
22,"Punjab Cricket Association IS Bindra Stadium, Mohali",Slow left-arm orthodox
17,"Punjab Cricket Association Stadium, Mohali",Left-arm fast
37,"Punjab Cricket Association Stadium, Mohali",Left-arm fast-medium
6,"Punjab Cricket Association Stadium, Mohali",Left-arm medium
42,"Punjab Cricket Association Stadium, Mohali",Left-arm medium-fast
55,"Punjab Cricket Association Stadium, Mohali",Legbreak
22,"Punjab Cricket Association Stadium, Mohali",Legbreak googly
66,"Punjab Cricket Association Stadium, Mohali",Right-arm fast
111,"Punjab Cricket Association Stadium, Mohali",Right-arm fast-medium
187,"Punjab Cricket Association Stadium, Mohali",Right-arm medium
102,"Punjab Cricket Association Stadium, Mohali",Right-arm medium-fast
70,"Punjab Cricket Association Stadium, Mohali",Right-arm offbreak
62,"Punjab Cricket Association Stadium, Mohali",Slow left-arm orthodox
2,"Rajiv Gandhi International Stadium, Uppal",Left-arm fast
76,"Rajiv Gandhi International Stadium, Uppal",Left-arm fast-medium
13,"Rajiv Gandhi International Stadium, Uppal",Left-arm medium
26,"Rajiv Gandhi International Stadium, Uppal",Left-arm medium-fast
68,"Rajiv Gandhi International Stadium, Uppal",Legbreak
46,"Rajiv Gandhi International Stadium, Uppal",Legbreak googly
90,"Rajiv Gandhi International Stadium, Uppal",Right-arm fast
121,"Rajiv Gandhi International Stadium, Uppal",Right-arm fast-medium
182,"Rajiv Gandhi International Stadium, Uppal",Right-arm medium
113,"Rajiv Gandhi International Stadium, Uppal",Right-arm medium-fast
86,"Rajiv Gandhi International Stadium, Uppal",Right-arm offbreak
1,"Rajiv Gandhi International Stadium, Uppal",Slow left-arm chinaman
50,"Rajiv Gandhi International Stadium, Uppal",Slow left-arm orthodox
12,"Sardar Patel Stadium, Motera",Left-arm fast
28,"Sardar Patel Stadium, Motera",Left-arm fast-medium
5,"Sardar Patel Stadium, Motera",Left-arm medium
5,"Sardar Patel Stadium, Motera",Left-arm medium-fast
24,"Sardar Patel Stadium, Motera",Legbreak
18,"Sardar Patel Stadium, Motera",Legbreak googly
18,"Sardar Patel Stadium, Motera",Right-arm fast
40,"Sardar Patel Stadium, Motera",Right-arm fast-medium
59,"Sardar Patel Stadium, Motera",Right-arm medium
24,"Sardar Patel Stadium, Motera",Right-arm medium-fast
26,"Sardar Patel Stadium, Motera",Right-arm offbreak
28,"Sardar Patel Stadium, Motera",Slow left-arm orthodox
3,Saurashtra Cricket Association Stadium,Left-arm fast-medium
1,Saurashtra Cricket Association Stadium,Left-arm medium
7,Saurashtra Cricket Association Stadium,Legbreak
4,Saurashtra Cricket Association Stadium,Legbreak googly
1,Saurashtra Cricket Association Stadium,Right-arm fast
11,Saurashtra Cricket Association Stadium,Right-arm fast-medium
26,Saurashtra Cricket Association Stadium,Right-arm medium
8,Saurashtra Cricket Association Stadium,Right-arm medium-fast
3,Saurashtra Cricket Association Stadium,Right-arm offbreak
5,Saurashtra Cricket Association Stadium,Slow left-arm chinaman
22,Saurashtra Cricket Association Stadium,Slow left-arm orthodox
2,Sawai Mansingh Stadium,Left-arm fast
40,Sawai Mansingh Stadium,Left-arm fast-medium
3,Sawai Mansingh Stadium,Left-arm medium
40,Sawai Mansingh Stadium,Left-arm medium-fast
11,Sawai Mansingh Stadium,Legbreak
41,Sawai Mansingh Stadium,Legbreak googly
46,Sawai Mansingh Stadium,Right-arm fast
111,Sawai Mansingh Stadium,Right-arm fast-medium
151,Sawai Mansingh Stadium,Right-arm medium
86,Sawai Mansingh Stadium,Right-arm medium-fast
81,Sawai Mansingh Stadium,Right-arm offbreak
11,Sawai Mansingh Stadium,Slow left-arm chinaman
64,Sawai Mansingh Stadium,Slow left-arm orthodox
9,Shaheed Veer Narayan Singh International Stadium,Left-arm fast-medium
2,Shaheed Veer Narayan Singh International Stadium,Left-arm medium
9,Shaheed Veer Narayan Singh International Stadium,Left-arm medium-fast
3,Shaheed Veer Narayan Singh International Stadium,Legbreak
9,Shaheed Veer Narayan Singh International Stadium,Legbreak googly
11,Shaheed Veer Narayan Singh International Stadium,Right-arm fast
24,Shaheed Veer Narayan Singh International Stadium,Right-arm fast-medium
9,Shaheed Veer Narayan Singh International Stadium,Right-arm medium
8,Shaheed Veer Narayan Singh International Stadium,Right-arm medium-fast
19,Shaheed Veer Narayan Singh International Stadium,Right-arm offbreak
12,Shaheed Veer Narayan Singh International Stadium,Slow left-arm orthodox
9,Sharjah Cricket Stadium,Left-arm fast
5,Sharjah Cricket Stadium,Left-arm fast-medium
4,Sharjah Cricket Stadium,Left-arm medium
5,Sharjah Cricket Stadium,Left-arm medium-fast
5,Sharjah Cricket Stadium,Legbreak
8,Sharjah Cricket Stadium,Legbreak googly
13,Sharjah Cricket Stadium,Right-arm fast
16,Sharjah Cricket Stadium,Right-arm fast-medium
22,Sharjah Cricket Stadium,Right-arm medium
13,Sharjah Cricket Stadium,Right-arm medium-fast
11,Sharjah Cricket Stadium,Right-arm offbreak
11,Sharjah Cricket Stadium,Slow left-arm orthodox
14,Sheikh Zayed Stadium,Left-arm fast
9,Sheikh Zayed Stadium,Left-arm fast-medium
4,Sheikh Zayed Stadium,Left-arm medium
2,Sheikh Zayed Stadium,Left-arm medium-fast
22,Sheikh Zayed Stadium,Legbreak
3,Sheikh Zayed Stadium,Legbreak googly
17,Sheikh Zayed Stadium,Right-arm fast
25,Sheikh Zayed Stadium,Right-arm fast-medium
32,Sheikh Zayed Stadium,Right-arm medium
12,Sheikh Zayed Stadium,Right-arm medium-fast
25,Sheikh Zayed Stadium,Right-arm offbreak
19,Sheikh Zayed Stadium,Slow left-arm orthodox
2,St George's Park,Left-arm fast
7,St George's Park,Left-arm fast-medium
2,St George's Park,Left-arm medium
5,St George's Park,Left-arm medium-fast
4,St George's Park,Legbreak
6,St George's Park,Legbreak googly
14,St George's Park,Right-arm fast
11,St George's Park,Right-arm fast-medium
31,St George's Park,Right-arm medium
21,St George's Park,Right-arm medium-fast
29,St George's Park,Right-arm offbreak
13,St George's Park,Slow left-arm orthodox
3,Subrata Roy Sahara Stadium,Left-arm fast
8,Subrata Roy Sahara Stadium,Left-arm fast-medium
1,Subrata Roy Sahara Stadium,Left-arm medium
28,Subrata Roy Sahara Stadium,Left-arm medium-fast
5,Subrata Roy Sahara Stadium,Legbreak
2,Subrata Roy Sahara Stadium,Legbreak googly
23,Subrata Roy Sahara Stadium,Right-arm fast
60,Subrata Roy Sahara Stadium,Right-arm fast-medium
78,Subrata Roy Sahara Stadium,Right-arm medium
58,Subrata Roy Sahara Stadium,Right-arm medium-fast
68,Subrata Roy Sahara Stadium,Right-arm offbreak
54,Subrata Roy Sahara Stadium,Slow left-arm orthodox
13,SuperSport Park,Left-arm fast
11,SuperSport Park,Left-arm fast-medium
11,SuperSport Park,Left-arm medium
16,SuperSport Park,Left-arm medium-fast
16,SuperSport Park,Legbreak
11,SuperSport Park,Legbreak googly
24,SuperSport Park,Right-arm fast
22,SuperSport Park,Right-arm fast-medium
24,SuperSport Park,Right-arm medium
39,SuperSport Park,Right-arm medium-fast
36,SuperSport Park,Right-arm offbreak
26,SuperSport Park,Slow left-arm orthodox
11,"Vidarbha Cricket Association Stadium, Jamtha",Left-arm fast-medium
9,"Vidarbha Cricket Association Stadium, Jamtha",Legbreak googly
18,"Vidarbha Cricket Association Stadium, Jamtha",Right-arm fast
4,"Vidarbha Cricket Association Stadium, Jamtha",Right-arm fast-medium
14,"Vidarbha Cricket Association Stadium, Jamtha",Right-arm medium
4,"Vidarbha Cricket Association Stadium, Jamtha",Right-arm medium-fast
9,"Vidarbha Cricket Association Stadium, Jamtha",Right-arm offbreak
25,"Vidarbha Cricket Association Stadium, Jamtha",Slow left-arm orthodox
28,Wankhede Stadium,Left-arm fast
82,Wankhede Stadium,Left-arm fast-medium
19,Wankhede Stadium,Left-arm medium
47,Wankhede Stadium,Left-arm medium-fast
38,Wankhede Stadium,Legbreak
23,Wankhede Stadium,Legbreak googly
153,Wankhede Stadium,Right-arm fast
90,Wankhede Stadium,Right-arm fast-medium
183,Wankhede Stadium,Right-arm medium
190,Wankhede Stadium,Right-arm medium-fast
138,Wankhede Stadium,Right-arm offbreak
4,Wankhede Stadium,Slow left-arm chinaman
144,Wankhede Stadium,Slow left-arm orthodox
