wickets,matches,season,player
3,2,9,KC Cariappa
6,4,9,KH Pandya
2,2,9,KJ Abbott
10,4,5,KK Cooper
19,10,6,KK Cooper
4,3,7,KK Cooper
1,1,4,KMDN Kulasekara
4,3,5,KMDN Kulasekara
2,2,2,KP Appanna
1,1,3,KP Appanna
6,3,5,KP Appanna
4,3,2,KP Pietersen
3,3,3,KP Pietersen
12,8,6,KV Sharma
15,9,7,KV Sharma
10,8,8,KV Sharma
2,2,6,KW Richardson
9,6,7,KW Richardson
8,4,9,KW Richardson
7,3,2,Kamran Khan
3,2,3,Kamran Khan
11,4,7,Karanveer Singh
1,1,8,Karanveer Singh
6,3,9,Kuldeep Yadav
3,2,3,L Ablish
11,5,1,L Balaji
13,7,2,L Balaji
7,5,3,L Balaji
10,6,4,L Balaji
11,6,5,L Balaji
12,9,6,L Balaji
12,7,7,L Balaji
1,1,2,LA Carseldine
2,2,6,LJ Wright
1,1,7,LMP Simmons
6,4,1,LR Shukla
3,1,2,LR Shukla
3,3,3,LR Shukla
1,1,5,LR Shukla
1,1,6,LR Shukla
1,1,7,LR Shukla
7,4,9,M Ashwin
3,1,1,M Kartik
4,3,2,M Kartik
9,7,3,M Kartik
1,1,4,M Kartik
4,3,5,M Kartik
9,7,6,M Kartik
1,1,7,M Kartik
13,9,4,M Morkel
25,13,5,M Morkel
7,6,6,M Morkel
12,8,7,M Morkel
10,6,8,M Morkel
10,6,9,M Morkel
11,9,1,M Muralitharan
14,9,2,M Muralitharan
16,9,3,M Muralitharan
2,2,4,M Muralitharan
15,8,5,M Muralitharan
3,3,6,M Muralitharan
3,2,7,M Muralitharan
7,3,1,M Ntini
3,1,5,M de Lange
2,1,7,M de Lange
2,1,1,MA Khote
14,8,7,MA Starc
20,11,8,MA Starc
2,2,2,MC Henriques
1,1,3,MC Henriques
7,5,6,MC Henriques
4,3,7,MC Henriques
11,7,8,MC Henriques
12,9,9,MC Henriques
15,8,1,MF Maharoof
4,2,2,MF Maharoof
8,5,3,MF Maharoof
24,13,6,MG Johnson
17,10,7,MG Johnson
10,6,8,MG Johnson
2,2,9,MG Johnson
2,2,5,MJ Clarke
18,9,8,MJ McClenaghan
17,10,9,MJ McClenaghan
1,1,3,MK Tiwary
14,8,1,MM Patel
16,9,2,MM Patel
3,3,3,MM Patel
22,10,4,MM Patel
15,8,5,MM Patel
3,1,6,MM Patel
20,11,6,MM Sharma
23,12,7,MM Sharma
14,11,8,MM Sharma
13,6,9,MM Sharma
8,6,5,MN Samuels
1,1,6,MN Samuels
8,3,9,MP Stoinis
2,2,3,MR Marsh
7,3,4,MR Marsh
7,5,6,MR Marsh
4,2,9,MR Marsh
17,12,1,MS Gony
5,4,2,MS Gony
1,1,3,MS Gony
4,2,4,MS Gony
3,3,5,MS Gony
7,5,6,MS Gony
8,6,1,Mohammad Asif
2,2,1,Mohammad Hafeez
1,1,6,Mohammed Shami
7,7,7,Mohammed Shami
5,4,9,Mohammed Shami
17,12,9,Mustafizur Rahman
1,1,3,ND Doshi
1,1,4,ND Doshi
2,2,4,NLTC Perera
19,11,6,NLTC Perera
1,1,8,NLTC Perera
9,5,9,NLTC Perera
1,1,6,NM Coulter-Nile
2,1,7,NM Coulter-Nile
15,8,8,NM Coulter-Nile
3,2,9,NM Coulter-Nile
7,5,1,P Amarnath
17,7,5,P Awana
15,11,6,P Awana
7,5,7,P Awana
11,8,1,P Kumar
13,8,2,P Kumar
10,7,3,P Kumar
10,7,4,P Kumar
9,6,5,P Kumar
12,8,6,P Kumar
3,2,7,P Kumar
7,6,8,P Kumar
9,5,9,P Kumar
7,4,5,P Negi
6,4,8,P Negi
1,1,9,P Negi
4,2,4,P Parameswaran
5,3,5,P Parameswaran
3,2,9,P Sahu
1,1,6,P Suyal
1,1,7,P Suyal
7,4,4,PC Valthaty
5,4,3,PD Collingwood
1,1,7,PJ Cummins
1,1,8,PJ Cummins
5,4,1,PJ Sangwan
15,9,2,PJ Sangwan
9,6,3,PJ Sangwan
1,1,5,PJ Sangwan
1,1,1,PM Sarvesh Kumar
17,8,1,PP Chawla
12,9,2,PP Chawla
12,9,3,PP Chawla
16,9,4,PP Chawla
16,11,5,PP Chawla
11,9,6,PP Chawla
14,9,7,PP Chawla
11,6,8,PP Chawla
11,7,9,PP Chawla
11,7,1,PP Ojha
18,10,2,PP Ojha
21,13,3,PP Ojha
10,7,4,PP Ojha
9,7,5,PP Ojha
16,9,6,PP Ojha
4,3,7,PP Ojha
1,1,6,PV Tambe
15,8,7,PV Tambe
7,6,8,PV Tambe
5,3,9,PV Tambe
2,1,2,Pankaj Singh
2,1,3,Pankaj Singh
7,4,5,Pankaj Singh
1,1,6,Parvez Rasool
1,1,7,Parvez Rasool
1,1,8,Parvez Rasool
1,1,9,Parvez Rasool
2,1,2,R Ashwin
13,9,3,R Ashwin
20,13,4,R Ashwin
14,11,5,R Ashwin
15,11,6,R Ashwin
16,11,7,R Ashwin
10,7,8,R Ashwin
10,6,9,R Ashwin
6,4,1,R Bhatia
10,4,2,R Bhatia
3,3,3,R Bhatia
8,4,4,R Bhatia
13,11,5,R Bhatia
11,9,6,R Bhatia
12,7,7,R Bhatia
6,4,9,R Bhatia
2,2,6,R Dhawan
13,9,7,R Dhawan
1,1,8,R Dhawan
2,2,9,R Dhawan
4,3,3,R McLaren
5,4,4,R McLaren
3,2,6,R McLaren
3,2,4,R Ninan
15,9,6,R Rampaul
1,1,7,R Rampaul
2,2,3,R Sathish
1,1,9,R Sathish
5,4,3,R Sharma
16,10,4,R Sharma
9,7,5,R Sharma
9,7,6,R Sharma
1,1,7,R Sharma
3,2,6,R Shukla
2,2,7,R Shukla
2,2,7,R Tewatia
1,1,8,R Tewatia
5,3,1,R Vinay Kumar
9,5,2,R Vinay Kumar
16,9,3,R Vinay Kumar
12,8,4,R Vinay Kumar
19,10,5,R Vinay Kumar
23,15,6,R Vinay Kumar
7,4,7,R Vinay Kumar
7,6,8,R Vinay Kumar
3,2,9,R Vinay Kumar
6,3,2,RA Jadeja
8,6,4,RA Jadeja
12,6,5,RA Jadeja
13,7,6,RA Jadeja
19,10,7,RA Jadeja
11,6,8,RA Jadeja
8,5,9,RA Jadeja
9,8,2,RE van der Merwe
2,1,3,RE van der Merwe
5,3,4,RE van der Merwe
2,1,5,RE van der Merwe
3,3,6,RE van der Merwe
1,1,8,RG More
1,1,1,RG Sharma
11,5,2,RG Sharma
2,2,3,RG Sharma
1,1,7,RG Sharma
6,3,2,RJ Harris
14,7,3,RJ Harris
16,11,4,RJ Harris
8,4,5,RJ Harris
1,1,6,RJ Harris
3,1,5,RJ Peterson
1,1,5,RN ten Doeschate
1,1,7,RN ten Doeschate
15,9,1,RP Singh
23,13,2,RP Singh
13,8,3,RP Singh
13,8,4,RP Singh
10,6,5,RP Singh
13,7,6,RP Singh
3,3,9,RP Singh
3,2,1,RR Powar
5,4,2,RR Powar
3,2,3,RR Powar
2,2,4,RR Powar
5,3,1,RR Raje
1,1,2,RR Raje
5,3,3,RS Bopara
6,4,8,RS Bopara
5,4,4,RV Gomez
21,11,4,S Aravind
8,4,8,S Aravind
11,8,9,S Aravind
2,2,7,S Badree
1,1,4,S Dhawan
3,3,5,S Dhawan
6,4,7,S Gopal
1,1,8,S Gopal
4,3,6,S Kaul
2,2,7,S Kaul
